texto_es,texto_en,polaridad,valor_polaridad,ubicacion_usuario,terminos
100sobre100 👇aquí tod ala información transparente de los 100 días de gestión del alcalde,100 over 100 here all the transparent information of the 100 days of the mayors management,neutral,0.0,,
dir. acompaña al alcalde en la rendición de cuentas por los 100 días de gestión. 100sobre100,dir accompanies the mayor in accountability for the 100 days of management 100 over 100,neutral,0.0,Cuenca, Ecuador,
es el inicio alcalde siga adelante 100sobre100,is the mayor start move on 100 over 100,neutral,0.0,,es_el el_inicio inicio_alcalde alcalde_siga siga_adelante adelante_100sobre100
cuenca: alcalde desde el parque de la madre da informe correspondiente a los 100 primeros días de su administración. 100sobre100,mayor basin from the mothers park gives report corresponding to the first 100 days of its administration 100 over 100,positivo,0.25,Cuenca, Ecuador,
no mientan la gestión debe ser de un 60 por ciento,do not lie the management should be 60 percent,neutral,0.0,,
informe de los cien días cien realidades 100sobre100,one hundred and one hundred realities report 100 on 100,neutral,0.0,,
a propósito d la suspensión d presentaciones q dispuso l alcalde a la ¿ya podrán dar una vueltita nocturna por la g. sangurima y v. machuca? digo si no hacen lo q deben al menos pa q vayan comiendo. d nada,With regard to the suspension of presentations that the mayor ordered they could already give a night flight by the bloody g and v machuca I say if they do not do what they owe at least to eat nothing,negativo,-0.55,Cuenca, Ecuador,
durante su informe destacó los principios rectores de su propuesta con la cual logró captar la alcaldía. al final agradeció a dios y destacó que: "los principios valores ética y moral están presentes en su accionar diario e invito a trabajar con pasión".,During his report he highlighted the guiding principles of his proposal with which he managed to capture the mayor at the end thanked God and stressed that the ethical and moral values principles are present in his daily actions and invite him to work with passion,positivo,0.05,Cuenca, Ecuador,
100sobre100 100 dias de gestión del alcalde vamos x mas obras,100 out of 100 100 days of management of the mayor we go x more works,positivo,0.5,Cuenca,
informe de gestión de nuestro alcalde 100sobre100 cuencaunida,management report of our mayor 100 over 100 united basin,neutral,0.0,Cuenca, Ecuador,
continuamos 👏🏻 estos primeros 100 días solo son nuestra línea de partida para lograr todos esos ideales. 100sobre100 cuencaunida,We continue these first 100 days are just our starting line to achieve all those ideals 100 over 100 Cuenca,positivo,0.125,Cuenca-Ecuador,
📌 sigue en vivo el informe de los 100 primeros días del alcalde destaca el respaldo al sector cultural mediante el proyecto incubadora cultural del cantón cuenca. 100sobre100,The report of the mayors first 100 days is still live highlighting the support to the cultural sector through the cultural incubator project of the cantn cuenca 100sobre100,positivo,0.14659090909090908,Cuenca, Ecuador,
acompaña en vivo el informe de nuestro alcalde de sus primeros 100 días de gestión del cien días cien realidades. 100sobre100,Accompany live the report of our mayor of his first 100 days of management of one hundred and one hundred realities 100 over 100,positivo,0.19318181818181818,Cuenca,
"en el ámbito turístico se han desarrollado exitosas campañas de promoción de cuenca en el último feriado la ocupación hotelera en la ciudad fue del 80%",in the tourism field successful basin promotion campaigns have been developed in the last holiday hotel occupancy in the city was 80,positivo,0.2833333333333333,Cuenca Ecuador,
informe de gestión de nuestro alcalde . 100sobre100 cuencaunida,management report of our mayor 100 over 100 united basin,neutral,0.0,,
en el parque de la madre   rinde un informe sobre sus primeros 100 días de gestión,in the park of the mother he gives a report on his first 100 days of management,positivo,0.25,,
el alcalde rinde un informe de los primeros cien días de su gestión. 100sobre100,the mayor gives a report of the first hundred days of his management 100 over 100,positivo,0.25,Cuenca - Ecuador,
que estas cosas estén en las 100 realidades es querer verle la cara a las cuencanos alcalde los operativos son cosas del día a día no es un logro ni algo nuevo. lo otro es la ciudad no una administración. otra práctica más de los políticos de siempre cuencaunida,that these things are in the 100 realities is wanting to see the face of the basin mayor the operations are things of the day is not an achievement or something new the other is the city not an administration another practice more than the politicians of always basin,positivo,0.17045454545454544,Azuay, Ecuador,
asi mismo es cuando se requiere de ayuda de personas encargadas de brindar seguridad a la ciudadania....brillan por su aucensia.,Likewise it is when the help of people in charge of providing security to the citizenry is needed because of their increase,neutral,0.0,Cuenca, Ecuador,asi_mismo mismo_es es_cuando cuando_se se_requiere requiere_de de_ayuda ayuda_de de_personas personas_encargadas encargadas_de de_brindar brindar_seguridad seguridad_a a_la la_ciudadania ciudadania_brillan brillan_por por_su su_aucensia
unida ciudad de grandes obras que crece con visión y liderazgo. 100sobre100,United city of great works that grows with vision and leadership 100sobre100,positivo,0.8,Cuenca, Ecuador,
alcalde informa a la ciudadanía sobre su gestión administrativa en estos 100 días de transparencia y da a conocer todas la sobras ejecutadas por y para una cuencaunida 100sobre100,Mayor informs the citizen about her administrative management in these 100 days of transparency and announces all the leftovers executed by and for a basin 100 over 100,neutral,0.0,,
con la presencia del alcalde se lleva a cabo en el parque de la madre el evento con motivo de la presentación del informe por los 100 días de gestión de la actual administración.,With the presence of the mayor the event takes place in the Mothers Park on the occasion of the presentation of the report for the 100 days of management of the current administration,neutral,0.0,Cuenca Ecuador,
les invitamos a seguir en vivo el informe de gestión de nuestro alcalde 👇🏻 100sobre100 cuencaunida,we invite you to follow live the management report of our mayor 100sobre100 cuencaunida,positivo,0.13636363636363635,Cuenca, Ecuador,
cuenca | inicia con una coregrafía de jóvenes cuencanos el evento de informe del alcalde por los primeros 100 días de gestión en el parque de la madre.,Cuenca begins with a choreography of young Cuenca the event report of the mayor for the first 100 days of management in the Mothers Park,positivo,0.175,Cuenca, Ecuador,
el día de hoy en la gobernacióndelazuay mantuvimos una reunión de trabajo con las entidades pertinentes para coordinar un trabajo conjunto en pro de la seguridad en sectores turísticos de cuenca,Today in the governorate of the Republic of Peru we held a working meeting with the relevant entities to coordinate a joint work for security in tourism sectors of Cuenca,positivo,0.4,Cuenca Ecuador,
cuenca: en breves momentos siga la transmisión en vivo el informe que dará el alcalde por los primeros 100 días de gestión. por la señal de ciudad 101.7 fm,In a few moments follow the live broadcast of the report to be given by the mayor for the first 100 days of management by the city seal 1017 fm,positivo,0.06212121212121211,Cuenca, Ecuador,
100sobre100 una mejor ciudad para todosss,100 percent a better city for everyone,positivo,0.5,,100sobre100_una una_mejor mejor_ciudad ciudad_para para_todosss
el día de ayer fui víctima de la delincuencia en pleno centro de la ciudad de cuenca el momento en que buscaba ayuda no se encontró ni a un solo guardia ciudadano. a dónde van nuestros impuestos?,Yesterday I was a victim of crime in the heart of the city of Cuenca the moment I was looking for help not a single citizen guard was found where our taxes go,negativo,-0.01964285714285715,Ecuador,
buenos días al sr. alcalde...desde yanaturo... fuimos a planificación del municipio y nos manifiestan que es el barrio quien debe pedir la planificación territorial... considero que es obligación de este departamento hacer la planificación territorial,good morning to the mayor of yanaturo we went to town planning and they tell us that it is the neighborhood who should ask for the territorial planning I consider that it is the obligation of this department to do the territorial planning,positivo,0.7,ECUADOR,
jaja gracias sr alcalde. que no decaiga en su afán y no cambie su don de gente. apoyemos.,haha thank you mr mayor do not decay in your year and do not change your gift of people support,positivo,0.2,Cuenca, Ecuador,
hasta cuando ucubamba,until when ucubamba,neutral,0.0,Cuenca,hasta_cuando cuando_ucubamba
opinión ciudadana: gestión en sus 100 dias en funciones.,citizen opinion management in its 100 days in office,neutral,0.0,,
y rayoloma cuando años el barrio está olvidado pasan los alcaldes y nada de nada,and rayoloma when the neighborhood is forgotten the mayors pass by and nothing at all,neutral,0.0,Minnesota,
calle vieja y carretas,old street and carts,positivo,0.1,Ecuador ,calle_vieja vieja_y y_carretas
por favor es importante que nos proporcione la dirección exacta.,please it is important that you provide us with the exact address,positivo,0.325,,
en áreas históricas dan permisos a diestra y siniestra a quien no lo merece al lado de mi casa (zona del centro histórico) se levanta un edificio de 3 pisos para 6 departamentos y no tiene un solo parqueadero.,In historic areas left and right hand permits are given to those who do not deserve it next to my house Downtown area a 3story building is built for 6 apartments and does not have a single parking lot,positivo,0.04285714285714286,La Castellana,
informamos sobre los 100 días de gestión de,We inform about the 100 days of management of,neutral,0.0,,
en áreas históricas dan permisos a diestra y siniestra a quien no lo merece al lado de mi casa (zona del centro histórico) se levanta un edificio de 3 pisos para 6 departamentos y no tiene un solo parqueadero.,In historic areas left and right hand permits are given to those who do not deserve it next to my house Downtown area a 3story building is built for 6 apartments and does not have a single parking lot,positivo,0.04285714285714286,La Castellana,
hacemos un llamado a las autoridades de para que tomen acciones al respecto. ¡las mujeres no podemos caminar tranquilas a nuestras casas cc,We call on the authorities to take action in this regard women can not walk quietly to our homes cc,positivo,0.05,Cuenca, Ecuador,
desde el 15 de mayo adquirimos una responsabilidad con la ciudad los mercados las parroquias y los grupos vulnerables fueron atendidos en estos cien 100 días 100sobre100,Since May 15 we acquired a responsibility with the city the markets parishes and vulnerable groups were served in these one hundred 100 days 100 over 100,negativo,-0.5,,
100sobre100 nuestro alcalde cumple 100 días de exitosa gestión.... cuencaunida,100 over 100 our mayor celebrates 100 days of successful management in Cuenca,positivo,0.75,,
100sobre100 más obras para cuenca.,100super100 ms basin works,neutral,0.0,Cuenca - Ecuador,
100sobre100 apenas es el inicio de una nueva organizada y planificada gracias al trabajo de y su equipo,100sobre100 is just the beginning of a new organized and planned thanks to the work of and his team,positivo,0.16818181818181818,,100sobre100_apenas apenas_es es_el el_inicio inicio_de de_una una_nueva nueva_organizada organizada_y y_planificada planificada_gracias gracias_al al_trabajo trabajo_de de_y y_su su_equipo
día 100 con 100 realidades cumplidas 👏🏻👏🏻 cuencaunida 100sobre100,gives 100 with 100 realities fulfilled basin 100 over 100,neutral,0.0,,
dgrinforma👇🏻 reporte diario de rayos ultravioleta 🌤 fecha: 21/08/2019 hora: 08h30 cuida tu piel siguiendo estas recomendaciones acorde al índice de radiación uv que presenta este día.👒🌂 trabajamosenprevención,dgrinforma daily report of ultraviolet rays date 21082019 hour 08h30 take care of your skin following these recommendations according to the uv radiation index presented this day we work in prevention,neutral,0.0,Cuenca, Ecuador,
trabajamos desde el primer día para cumplir nuestro compromiso con los cuencanos la seguridad la planificación y la vialidad ejes fundamentales de nuestro plan de acción son cien días cien realidades. 100sobre100,we work from the first day to fulfill our commitment to the basins security planning and roadways are the fundamental axes of our action plan one hundred and one hundred realities 100 over 100,positivo,0.175,,
informamos sobre los 100 días de gestión de,We inform about the 100 days of management of,neutral,0.0,,
hacemos un llamado de atención para intensificar los controles de seguridad tras el nuevo caso de violacion en cuenca. al alcalde que desde mayo no se ha instalado la mesa cantonal de erradicación de violencia.,We call for attention to intensify security controls after the new case of rape in the basin to the mayor who since May has not installed the cantonal table for the eradication of violence,positivo,0.13636363636363635,Azuay, Ecuador,
un ratito también está prohibido para ellos? el chofer no está en la cabina cuenca,a little while is also prohibited for them the driver is not in the basin cabin,negativo,-0.1875,Ecuador ,
cuenca:"ing. y varios funcionarios del días de gestión: obras: hemos decidido continuar lo que se arrancó seguir haciéndolo. hay mucho dinero de los cuencanos invertidos y no se puede desperdiciar.",Cuenca and several civil works management officials we have decided to continue what was started to continue doing so there is a lot of money from the inverted basins and it cannot be wasted,negativo,-0.1,Cuenca Ecuador,
muchas gracias,thank you,neutral,0.0,,muchas_gracias
cuenca:"ing. y varios funcionarios del días de gestión: tranvía: con taller previo con los concejales se podrá llegar a un acuerdo y se definirá la sesión de concejo cantonal para tratar la tarifa.",Cuenca and several officials of the day of tranca management with previous workshop with the councilors can reach an agreement and define the cantonal council session to discuss the rate,negativo,-0.08333333333333333,Cuenca Ecuador,
cuenca:"ing. y varios funcionarios del días de gestión: tranvía: el contrato de mantenimiento se ha avanzado en más del 90%.",cuencaing and several officials of the management days tranca the maintenance contract has been advanced in more than 90,positivo,0.3,Cuenca Ecuador,
calles sangurima y vargas machuca puestos de comida informales en la noche sobre las rieles del tranvía autoridades por favor atender,streets sangurima and vargas machuca informal food stalls at night on the tram rails authorities please attend,neutral,0.0,Miami,
estamos con act en el centro histórico.,we are with act in the historic center,negativo,-0.05,,
acompañamos a en para hablar sobre sus 100 días de gestión. cuencaunida 100sobre100,We accompany you in to talk about your 100 days of basin management 100 over 100,neutral,0.0,,
cuenca:"ing. y varios funcionarios del días de gestión:varios planes se han puesto en marcha.activación económica: se ha capacitado a gran cantidad/ciudadanosa través de q puedan impulsar sus emprendimientos",Basin and several officials of the business management plans have been launched economic activation has been trained to many citizens through which they can boost their ventures,positivo,0.2333333333333333,Cuenca Ecuador,
dialogamos en másnoticias con el ing. y varios funcionarios del tema: 100 días de gestión.,we dialogue in msnoticias with ing and several officials of the topic 100 days of management,neutral,0.0,Cuenca Ecuador,
por favor el centro de la ciudad también ne esta agentes de tránsito. muchas gracias,please the center of the city is also a transit agent thank you very much,positivo,0.08,,
buen día. contamos con la presencia de act en diferentes sectores de la ciudad.,good day we have the presence of act in different sectors of the city,positivo,0.35,,
felicitaciones,Congratulations,neutral,0.0,Cuenca / Ecuador,
gente que ignora el trabajó pero no porque no sepa sino porque no le conviene debido a que pertenecen a otros grupos politicos ya empecemos a tener criterio,people who ignore the work but not because they dont know but because it doesnt suit them because they belong to other political groups and lets start to have criteria,negativo,-0.0625,,
todo es cuestión de planificación no de improvisación así se construye seguridad.,its all about planning not improvisation as security is built,neutral,0.0,Quito, Ecuador,
por el sector huizhil no hay seguridad la delincuencia es de todos los días la policía no hace nada no podemos vivir en paz nos tienen en el olvido,for the Huizhil sector there is no security crime is every day the police do nothing we can not live in peace they have us forgotten,negativo,-0.06818181818181818,Ecuador,
excelente me parece muy positiva la reacción ante mi cuestionamiento del tema en el concejo cantonal en las instituciones públicas sobre brokers seguimos pendiente acciones de la corporación municipal,The reaction to my questioning of the issue in the cantonal council in the public institutions on brokers seems very positive we are still pending actions of the municipal corporation,positivo,0.14772727272727273,Cuenca,
bellas palabras señor alcalde dios lo bendiga siempre y le de mucha fuerza y sabiduría,beautiful words Lord Mayor God bless you always and give you great strength and wisdom,positivo,0.825,,
viviran enganados la bola tiempo y nada autoridades ineptas y corruptas.,they will live the time ball and nothing inept and corrupt authorities,negativo,-0.18181818181818182,,viviran_enganados enganados_la la_bola bola_tiempo tiempo_y y_nada nada_autoridades autoridades_ineptas ineptas_y y_corruptas
como abomban con esta vaina. bastantes "comunicadores" tienen.,as they dominate with this pod many communicators have,positivo,0.5,Cuenca, Ecuador,como_abomban abomban_con con_esta esta_vaina vaina_bastantes bastantes_comunicadores comunicadores_tienen
cuenca: termina la jornada de este martes en el mundialitodelospobres🏆con el resultado final ⚽️ tandacatu 7🥅 ⚽️ parque iberia 0🥅 elequipoganador,Cuenca ends the day on Tuesday at the World Cup of the poor with the final result tandacatu 7 iberia park 0 the team,negativo,-0.2,Cuenca, Ecuador,
cuenca: en tiempo de mundialitodelospobres🏆 finaliza el primer partido de la noche con el marcador. ⚽️ deportivo 2🥅 ⚽️ cdla. ingenieros 2🥅 elequipoganador,watershed in World Cup time ends the first game of the night with the sports marker 2 cdla engineers 2 the team,negativo,-0.07500000000000001,Cuenca, Ecuador,
